startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,mcPeriGap,targBv,targSz,targXoff1,targXoff2,targYoff,targTtot,targTon,fixCross,trialT,nRevs
-2,256,0.1,0.01,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,0.01,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,0.01,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,0.01,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,0.01,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,0.01,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,0.01,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,0.01,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,0.01,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,0.01,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,0.01,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,0.01,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,0.01,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,0.01,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,0.6,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,0.6,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,0.6,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,0.6,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,0.6,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,0.6,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,0.6,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,0.6,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,0.6,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,0.6,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,0.6,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,0.6,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,0.6,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,0.6,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,0.6,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,0.6,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,0.6,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,9.6,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,9.6,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,9.6,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,0.01,0.05,12,116,9.6,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,9.6,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,9.6,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,0.6,0.05,12,116,9.6,5,-96,96,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,9.6,5,-32,32,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,9.6,5,-64,64,0,0.5,0,0,0.75,10
-2,256,0.1,9.6,0.05,12,116,9.6,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,9.6,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,9.6,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,0.01,0.05,12,116,9.6,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,9.6,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,9.6,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,0.6,0.05,12,116,9.6,5,-96,96,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,9.6,5,-32,32,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,9.6,5,-64,64,0,0.5,0,0,0.75,10
0,256,0.1,9.6,0.05,12,116,9.6,5,-96,96,0,0.5,0,0,0.75,10
