startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,targSz,targXoff1,targXoff2,targYoff,targTtot,targTpeak,fixCross,trialT,nRevs
-2,256,0.1,0.01,0.05,12,4,-32,32,0,0.5,0.5,1,2,10
-2,256,0.1,0.01,0.05,12,4,-96,96,0,0.5,0.5,1,2,10
-2,256,0.1,9.6,0.05,12,4,-32,32,0,0.5,0.5,1,2,10
-2,256,0.1,9.6,0.05,12,4,-96,96,0,0.5,0.5,1,2,10
-2,256,0.1,0.01,0.05,12,4,-32,32,0,0.5,1,1,2,10
-2,256,0.1,0.01,0.05,12,4,-96,96,0,0.5,1,1,2,10
-2,256,0.1,9.6,0.05,12,4,-32,32,0,0.5,1,1,2,10
-2,256,0.1,9.6,0.05,12,4,-96,96,0,0.5,1,1,2,10
-2,256,0.1,0.01,0.05,12,4,-32,32,0,0.5,1.5,1,2,10
-2,256,0.1,0.01,0.05,12,4,-96,96,0,0.5,1.5,1,2,10
-2,256,0.1,9.6,0.05,12,4,-32,32,0,0.5,1.5,1,2,10
-2,256,0.1,9.6,0.05,12,4,-96,96,0,0.5,1.5,1,2,10
0,256,0.1,0.01,0.05,12,4,-32,32,0,0.5,0.5,1,2,10
0,256,0.1,0.01,0.05,12,4,-96,96,0,0.5,0.5,1,2,10
0,256,0.1,9.6,0.05,12,4,-32,32,0,0.5,0.5,1,2,10
0,256,0.1,9.6,0.05,12,4,-96,96,0,0.5,0.5,1,2,10
0,256,0.1,0.01,0.05,12,4,-32,32,0,0.5,1,1,2,10
0,256,0.1,0.01,0.05,12,4,-96,96,0,0.5,1,1,2,10
0,256,0.1,9.6,0.05,12,4,-32,32,0,0.5,1,1,2,10
0,256,0.1,9.6,0.05,12,4,-96,96,0,0.5,1,1,2,10
0,256,0.1,0.01,0.05,12,4,-32,32,0,0.5,1.5,1,2,10
0,256,0.1,0.01,0.05,12,4,-96,96,0,0.5,1.5,1,2,10
0,256,0.1,9.6,0.05,12,4,-32,32,0,0.5,1.5,1,2,10
0,256,0.1,9.6,0.05,12,4,-96,96,0,0.5,1.5,1,2,10
