startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,mcPeriGap,targBv,targSz,targXoff1,targXoff2,targYoff,targTtot,targTon,fixCross,trialT,nRevs,mono
-2,256,0.1,0.6,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,0.6,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,0.6,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,0.6,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,0.6,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,0.6,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,0.6,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,0.6,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,1.2,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,1.2,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,1.2,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,1.2,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,1.2,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,1.2,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,1.2,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,1.2,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,2.4,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,2.4,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,2.4,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,2.4,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,2.4,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,2.4,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,2.4,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,2.4,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,4.8,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,4.8,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,4.8,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,4.8,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,4.8,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
-2,256,0.1,4.8,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
0,256,0.1,4.8,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,1
0,256,0.1,4.8,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,1
-2,256,0.1,0.6,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,0
-2,256,0.1,0.6,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,0
0,256,0.1,0.6,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,0
0,256,0.1,0.6,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,0
-2,256,0.1,0.6,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,0
-2,256,0.1,0.6,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,0
0,256,0.1,0.6,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,0
0,256,0.1,0.6,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,0
-2,256,0.1,1.2,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,0
-2,256,0.1,1.2,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,0
0,256,0.1,1.2,0.05,12,116,0.01,5,-32,32,0,0.4,0,0,0.5,10,0
0,256,0.1,1.2,0.05,12,116,0.01,5,-96,96,0,0.4,0,0,0.5,10,0
-2,256,0.1,1.2,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,0
-2,256,0.1,1.2,0.05,12,116,9.6,5,-96,96,0,0.4,0,0,0.5,10,0
0,256,0.1,1.2,0.05,12,116,9.6,5,-32,32,0,0.4,0,0,0.5,10,0
